molregno,canonical_smiles,LogP,TPSA
1,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccccc1Cl,2.113619999999999,84.82
2,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(C#N)cc1,1.3318999999999996,108.60999999999999
3,Cc1cc(-n2ncc(=O)[nH]c2=O)cc(C)c1C(O)c1ccc(Cl)cc1,2.2727399999999998,87.98
4,Cc1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2)cc1,1.4602199999999999,84.82
5,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(Cl)cc1,2.113619999999999,84.82
6,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccccc1,1.4602199999999996,84.82
7,Cc1cc(Br)ccc1C(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,2.876120000000001,84.82
8,O=C(c1ccc(Cl)cc1Cl)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,3.112000000000002,84.82
9,CS(=O)(=O)c1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2Cl)cc1,1.2087,118.95999999999998
10,c1cc2cc(c1)-c1cccc(c1)C[n+]1ccc(c3ccccc31)NCCCCCCCCCCNc1cc[n+](c3ccccc13)C2,9.289800000000001,31.819999999999997
15,CSc1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2Cl)cc1,2.5271,84.82
21,O=C(c1ccc(Cl)cc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,2.4585999999999997,84.82
23,O=C1O/C(=C/Br)CCC1c1cccc2ccccc12,4.496700000000003,26.3
24,O=C1O/C(=C/I)CCC1c1cccc2ccccc12,4.536800000000003,26.3
25,C#C/C=C1\CCC(c2cccc3ccccc23)C(=O)O1,3.7775000000000025,26.3
26,O=C1O/C(=C\I)CCC1c1cccc2ccccc12,4.536800000000003,26.3
27,O=C(c1ccccc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1,1.1517999999999997,84.82
28,O=c1cnn(-c2ccc(C(O)c3ccc(Cl)cc3)c(Cl)c2)c(=O)[nH]1,2.3093,87.97999999999999
29,O=C(c1ccccc1)c1cc(-n2ncc(=O)[nH]c2=O)ccc1Cl,1.8051999999999997,84.82
30,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(O)c1ccccc1,1.3109199999999996,87.98
31,COc1cc2nc(N3CCN(C(=O)C4CC4c4ccccc4)CC3)nc(N)c2cc1OC,2.6815000000000007,93.81
32,COc1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2)cc1,1.1603999999999999,94.05000000000001
33,COc1cc2nc(N3CCN(S(=O)(=O)c4cccs4)CC3)nc(N)c2cc1OC,1.8016,110.88
38,c1ccc2c(c1)c1cc[n+]2Cc2ccc(cc2)-c2ccc(cc2)C[n+]2ccc(c3ccccc32)NCCCCCCCCCCN1,9.289800000000001,31.82
39,Nc1cc[n+](Cc2cccc(-c3cccc(C[n+]4ccc(N)c5ccccc54)c3)c2)c2ccccc12,5.496000000000005,59.8
46,Nc1cc[n+](Cc2ccc(CCc3ccc(C[n+]4ccc(N)c5ccccc54)cc3)cc2)c2ccccc12,5.614200000000005,59.8
47,Nc1cc[n+](Cc2ccc(/C=C\c3ccc(C[n+]4ccc(N)c5ccccc54)cc3)cc2)c2ccccc12,5.999400000000005,59.8
48,c1ccc(C[n+]2ccc(NCCCCCCCCCCNc3cc[n+](Cc4ccccc4)c4ccccc34)c3ccccc32)cc1,9.309400000000002,31.819999999999997
49,C1=C\c2ccc(cc2)C[n+]2ccc(c3ccccc32)NCCCCCCCCCCNc2cc[n+](c3ccccc23)Cc2ccc/1cc2,9.793199999999999,31.819999999999997
50,c1ccc2c(c1)c1cc[n+]2Cc2ccc(cc2)CCc2ccc(cc2)C[n+]2ccc(c3ccccc32)NCCCCCCCCCCN1,9.408000000000001,31.82
51,c1ccc2c(c1)c1cc[n+]2Cc2ccc(cc2)Cc2ccc(cc2)C[n+]2ccc(c3ccccc32)NCCCCCCCCCCN1,9.213600000000001,31.82
52,Nc1cc[n+](Cc2ccc3c(c2)Cc2cc(C[n+]4ccc(N)c5ccccc54)ccc2-3)c2ccccc12,5.400200000000004,59.8
53,Nc1cc[n+](Cc2ccc(-c3ccc(C[n+]4ccc(N)c5ccccc54)cc3)cc2)c2ccccc12,5.496000000000004,59.8
54,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(Cl)cc1Cl,2.7670200000000005,84.82
55,c1ccc2c(c1)c1cc[n+]2Cc2ccc3c(c2)Cc2cc(ccc2-3)C[n+]2ccc(c3ccccc32)NCCCCCCCCCCN1,9.194000000000003,31.82
56,Nc1cc[n+](Cc2ccc(Cc3ccc(C[n+]4ccc(N)c5ccccc54)cc3)cc2)c2ccccc12,5.419800000000004,59.8
58,COC(=O)/C=C/C(=O)Nc1ccc(CCCCC(=O)N2CCN(c3nc(N)c4cc(OC)c(OC)cc4n3)CC2)cc1,2.958500000000001,149.20999999999998
59,COc1cc2nc(N3CCN(C(=O)CCc4ccccc4)CC3)nc(N)c2cc1OC,2.5106,93.81
60,COc1ccc(/C=C/C(=O)N2CCN(c3nc(N)c4cc(OC)c(OC)cc4n3)CC2)cc1,2.599800000000001,103.04
61,COc1cc2nc(N3CCN(C(=O)/C=C/c4cccc(F)c4)CC3)nc(N)c2cc1OC,2.7303000000000006,93.81
62,COc1cc2nc(N3CCN(C(=O)C4CC5C=CC4C5)CC3)nc(N)c2cc1OC,2.09,93.81
63,C/C=C/C=C/C(=O)N1CCN(c2nc(N)c3cc(OC)c(OC)cc3n2)CC1,2.0101,93.81000000000002
64,COc1cc2nc(N3CCN(C(=O)/C=C/c4ccccc4)CC3)nc(N)c2cc1OC,2.5912000000000006,93.81
65,COc1cc2nc(N3CCN(C(=O)/C=C/c4ccc(F)cc4)CC3)nc(N)c2cc1OC,2.7303000000000006,93.81
66,COc1cc2nc(N3CCN(C(=O)/C=C/c4ccc(Cl)cc4)CC3)nc(N)c2cc1OC,3.244600000000001,93.81
67,COc1cc2nc(N3CCN(C(=O)/C(F)=C/c4ccccc4)CC3)nc(N)c2cc1OC,2.8884000000000007,93.81
68,COc1cc2nc(N3CCN(C(=O)Nc4ccccc4)CC3)nc(N)c2cc1OC,2.5833000000000004,105.84
69,COC(=O)/C=C/C(=O)Nc1ccc(/C=C/C(=O)N2CCN(c3nc(N)c4cc(OC)c(OC)cc4n3)CC2)cc1,2.2588999999999997,149.20999999999998
70,COc1cc2nc(N3CCN(/C(S)=N/C4CCCCC4)CC3)nc(N)c2cc1OC,2.9697000000000005,89.10000000000001
71,COc1cc2nc(N3CCN(C(=O)C4=CC5C=CC4CC5)CC3)nc(N)c2cc1OC,2.4002000000000008,93.81
72,COc1cc2nc(N3CCN(S(=O)(=O)c4ccc(C)cc4)CC3)nc(N)c2cc1OC,2.04852,110.88
73,COc1cc2nc(N3CCN(/C(S)=N/c4ccccc4)CC3)nc(N)c2cc1OC,2.9687,89.10000000000001
74,O=C(c1ccc(-n2ncc(=O)[nH]c2=O)cc1)c1cccs1,1.2133,84.82
75,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1Cc1ccccc1,1.8200199999999997,67.75
76,Cc1cc(-n2ncc(=O)[nH]c2=O)cc(Cl)c1C(=O)c1ccc(Cl)cc1,2.7670200000000005,84.82
77,O=C(c1ccccc1)c1cccc(-n2ncc(=O)[nH]c2=O)c1,1.1517999999999993,84.82
78,Cc1cc(-n2ncc(=O)[nH]c2=O)cc(C)c1C(=O)c1ccc(Cl)cc1,2.42204,84.82
79,Cc1cc(Cl)ccc1C(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1C,2.42204,84.82
80,CC(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,0.7767999999999999,84.82
81,O=C(c1ccccc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,1.8051999999999997,84.82
82,Cc1cc(C)c(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2)c(C)c1,2.0770599999999995,84.82
83,O=C(c1ccc(Cl)cc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1,1.8051999999999992,84.82
84,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(O)c1ccc(Cl)cc1,1.9643199999999994,87.98
85,c1cncc(CN2CCN(CC3CCCCN3)CC2)c1,1.3413,31.400000000000006
86,c1cc(CN2CCN(CC3CCCCN3)CC2)ccn1,1.3412999999999997,31.4
87,CN1CCCCC1CN1CCN(Cc2ccncc2)CC1,1.6834999999999996,22.61
88,CN1CCCCC1CN1CCN(Cc2cccnc2)CC1,1.6834999999999996,22.61
89,COc1cc2nc(N3CCN(C(=O)/C=C/c4ccc(Br)cc4)CC3)nc(N)c2cc1OC,3.353700000000001,93.81
90,CCCC(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1,0.9036,84.82
91,CC(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1,0.12339999999999979,84.82
92,O=c1cnn(-c2ccc(-c3ccc4oc5ccc(Cl)cc5c(=O)c4c3)cc2)c(=O)[nH]1,3.5008000000000026,97.95999999999998
93,COc1cc2nc(N3CCN(C(=O)c4ccc(N=C=S)c(I)c4)CC3)nc(N)c2cc1OC,3.5305000000000017,106.17
94,COc1cc2nc(N3CCN(/C(S)=N/c4ccc(NC(=S)N5CC5)cc4)CC3)nc(N)c2cc1OC,2.9811000000000005,104.14
95,CN1CCC[C@H]1CN1CCN(Cc2ccncc2)CC1,1.2933999999999992,22.61
96,CN1CCC[C@H]1CN1CCN(Cc2cccnc2)CC1,1.2933999999999992,22.61
97,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,1.7845999999999997,106.95
98,COC(=O)/C=C/C=C/C(=O)N1CCN(c2nc(N)c3cc(OC)c(OC)cc3n2)CC1,1.1631999999999996,120.11000000000001
99,COc1cc2nc(N3CCN(C(=O)C4OC4c4ccccc4)CC3)nc(N)c2cc1OC,2.017899999999999,106.34
100,COc1cc2nc(N3CCN(C(=O)/C=C/C(=O)c4ccccc4)CC3)nc(N)c2cc1OC,2.3169000000000004,110.88
101,COc1cc2nc(N3CCN(C(=O)c4ccc5ccccc5c4)CC3)nc(N)c2cc1OC,3.344800000000001,93.81
102,COc1cc2nc(N3CCN(/C(S)=N/c4ccc(N=[N+]=[N-])cc4)CC3)nc(N)c2cc1OC,3.9105000000000025,137.85999999999999
103,COc1cc2nc(N3CCN(C(=O)c4cccc(CCl)c4)CC3)nc(N)c2cc1OC,2.9304000000000006,93.81
104,COc1cc2nc(N3CCN(C(=O)/C=C/c4ccc(N=C=S)cc4)CC3)nc(N)c2cc1OC,3.325500000000001,106.17
105,COc1cc2nc(N3CCN(C(=O)/C=C/c4ccc(NC(=O)CBr)cc4)CC3)nc(N)c2cc1OC,2.9246000000000008,122.91000000000001
106,O=c1oc2c(O)c(O)ccc2c2ccc(O)cc12,2.0629999999999997,90.9
107,O=c1oc2ccccc2c2ccccc12,2.946200000000001,30.21
108,O=c1oc2c(O)c(O)ccc2c2ccccc12,2.3573999999999993,70.67
109,O=c1oc2ccccc2c2cc(O)c(O)cc12,2.357400000000001,70.67
110,O=c1oc2cc(O)c(O)cc2c2cc(O)c(O)cc12,1.7686,111.13000000000001
112,COc1cc2nc(N3CCN(C(=O)COc4ccccc4)CC3)nc(N)c2cc1OC,1.9567999999999997,103.04
114,C=C(C=O)C[C@H]1C[C@H](O)[C@]2(C)O[C@@H]3C[C@@H]4O[C@@H]5C[C@]6(C)O[C@]7(C)CC[C@@H]8O[C@@H]9C[C@]%10(C)O[C@@H]%11C(C)=CC(=O)O[C@H]%11C[C@H]%10O[C@H]9C[C@@H](C)[C@H]8O[C@H]7C[C@H]6O[C@@]5(C)C/C=C\[C@H]4O[C@H]3C[C@H]2O1,5.472100000000008,155.89999999999998
115,CN1CCC[C@H]1c1cccnc1,1.8483,16.130000000000003
116,c1cncc([C@@H]2CCCN2)c1,1.5061,24.92
117,CCC(C)(C)NC(=O)OCC1CN(C(=O)c2cc(OC)c(OC)c(OC)c2)CCN1C(=O)c1cc(OC)c(OC)c(OC)c1,3.6198000000000023,134.33
118,COc1cc(C(=O)N2CCN(C(=O)c3cc(OC)c(OC)c(OC)c3)C(COC(=O)NC(C)CC(C)C)C2)cc(OC)c1OC,3.865800000000003,134.33
119,CCCC(C)NC(=O)OCC1CN(C(=O)c2cc(OC)c(OC)c(OC)c2)CCN1C(=O)c1cc(OC)c(OC)c(OC)c1,3.6198000000000023,134.33
120,O=C(C1CCCCN1)N1CCN(Cc2cccnc2)CC1,0.8678999999999992,48.470000000000006
121,c1cncc(CN2CCN(C[C@@H]3CCCN3)CC2)c1,0.9512000000000003,31.400000000000006
122,c1cc(CN2CCN(C[C@@H]3CCCN3)CC2)ccn1,0.9511999999999998,31.4
123,O=c1oc2c(O)c(O)ccc2c2cc(F)ccc12,2.4965,70.67
