chembl_id,canonical_smiles,MolWt,LogP,HDonors,HAcceptors
CHEMBL6329,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccccc1Cl,341.754,2.113619999999999,1,5
CHEMBL6328,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(C#N)cc1,332.3190000000001,1.3318999999999996,1,6
CHEMBL265667,Cc1cc(-n2ncc(=O)[nH]c2=O)cc(C)c1C(O)c1ccc(Cl)cc1,357.797,2.2727399999999998,2,5
CHEMBL6362,Cc1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2)cc1,307.309,1.4602199999999999,1,5
CHEMBL267864,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(Cl)cc1,341.754,2.113619999999999,1,5
CHEMBL6363,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccccc1,307.309,1.4602199999999996,1,5
CHEMBL6352,Cc1cc(Br)ccc1C(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,420.6500000000001,2.876120000000001,1,5
CHEMBL268097,O=C(c1ccc(Cl)cc1Cl)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,396.6170000000001,3.112000000000002,1,5
CHEMBL266457,CS(=O)(=O)c1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2Cl)cc1,405.8190000000001,1.2087,1,7
CHEMBL6214,CSc1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2Cl)cc1,373.821,2.5271,1,6
CHEMBL6222,O=C(c1ccc(Cl)cc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,362.17200000000014,2.4585999999999997,1,5
CHEMBL6206,O=C1O/C(=C/Br)CCC1c1cccc2ccccc12,317.182,4.496700000000003,0,2
CHEMBL6223,O=C1O/C(=C/I)CCC1c1cccc2ccccc12,364.182,4.536800000000003,0,2
CHEMBL269758,C#C/C=C1\CCC(c2cccc3ccccc23)C(=O)O1,262.308,3.7775000000000025,0,2
CHEMBL6228,O=C1O/C(=C\I)CCC1c1cccc2ccccc12,364.182,4.536800000000003,0,2
CHEMBL268365,O=C(c1ccccc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1,293.28200000000004,1.1517999999999997,1,5
CHEMBL6230,O=c1cnn(-c2ccc(C(O)c3ccc(Cl)cc3)c(Cl)c2)c(=O)[nH]1,364.18800000000005,2.3093,2,5
CHEMBL6254,O=C(c1ccccc1)c1cc(-n2ncc(=O)[nH]c2=O)ccc1Cl,327.727,1.8051999999999997,1,5
CHEMBL6268,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(O)c1ccccc1,309.32500000000005,1.3109199999999996,2,5
CHEMBL414196,COc1cc2nc(N3CCN(C(=O)C4CC4c4ccccc4)CC3)nc(N)c2cc1OC,433.5120000000002,2.6815000000000007,1,7
CHEMBL268528,COc1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2)cc1,323.30800000000005,1.1603999999999999,1,6
CHEMBL112998,COc1cc2nc(N3CCN(S(=O)(=O)c4cccs4)CC3)nc(N)c2cc1OC,435.53100000000023,1.8016,1,9
CHEMBL6344,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(Cl)cc1Cl,376.19900000000007,2.7670200000000005,1,5
CHEMBL263077,COc1cc2nc(N3CCN(C(=O)CCc4ccccc4)CC3)nc(N)c2cc1OC,421.5010000000002,2.5106,1,7
CHEMBL6347,COc1ccc(/C=C/C(=O)N2CCN(c3nc(N)c4cc(OC)c(OC)cc4n3)CC2)cc1,449.51100000000025,2.599800000000001,1,8
CHEMBL6348,COc1cc2nc(N3CCN(C(=O)/C=C/c4cccc(F)c4)CC3)nc(N)c2cc1OC,437.47500000000025,2.7303000000000006,1,7
CHEMBL6339,COc1cc2nc(N3CCN(C(=O)C4CC5C=CC4C5)CC3)nc(N)c2cc1OC,409.4900000000003,2.09,1,7
CHEMBL6340,C/C=C/C=C/C(=O)N1CCN(c2nc(N)c3cc(OC)c(OC)cc3n2)CC1,383.4520000000002,2.0101,1,7
CHEMBL268768,COc1cc2nc(N3CCN(C(=O)/C=C/c4ccccc4)CC3)nc(N)c2cc1OC,419.48500000000024,2.5912000000000006,1,7
CHEMBL6358,COc1cc2nc(N3CCN(C(=O)/C=C/c4ccc(F)cc4)CC3)nc(N)c2cc1OC,437.47500000000025,2.7303000000000006,1,7
CHEMBL6351,COc1cc2nc(N3CCN(C(=O)/C=C/c4ccc(Cl)cc4)CC3)nc(N)c2cc1OC,453.93000000000023,3.244600000000001,1,7
CHEMBL6342,COc1cc2nc(N3CCN(C(=O)/C(F)=C/c4ccccc4)CC3)nc(N)c2cc1OC,437.47500000000025,2.8884000000000007,1,7
CHEMBL6218,COc1cc2nc(N3CCN(C(=O)Nc4ccccc4)CC3)nc(N)c2cc1OC,408.4620000000003,2.5833000000000004,2,7
CHEMBL6208,COc1cc2nc(N3CCN(/C(S)=N/C4CCCCC4)CC3)nc(N)c2cc1OC,430.5780000000004,2.9697000000000005,2,7
CHEMBL429379,COc1cc2nc(N3CCN(C(=O)C4=CC5C=CC4CC5)CC3)nc(N)c2cc1OC,421.5010000000003,2.4002000000000008,1,7
CHEMBL415285,COc1cc2nc(N3CCN(S(=O)(=O)c4ccc(C)cc4)CC3)nc(N)c2cc1OC,443.5290000000003,2.04852,1,8
CHEMBL264721,COc1cc2nc(N3CCN(/C(S)=N/c4ccccc4)CC3)nc(N)c2cc1OC,424.53000000000026,2.9687,2,7
CHEMBL415286,O=C(c1ccc(-n2ncc(=O)[nH]c2=O)cc1)c1cccs1,299.31100000000004,1.2133,1,6
CHEMBL6226,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1Cc1ccccc1,293.326,1.8200199999999997,1,4
CHEMBL6236,Cc1cc(-n2ncc(=O)[nH]c2=O)cc(Cl)c1C(=O)c1ccc(Cl)cc1,376.19900000000007,2.7670200000000005,1,5
CHEMBL6237,O=C(c1ccccc1)c1cccc(-n2ncc(=O)[nH]c2=O)c1,293.28200000000004,1.1517999999999993,1,5
CHEMBL6238,Cc1cc(-n2ncc(=O)[nH]c2=O)cc(C)c1C(=O)c1ccc(Cl)cc1,355.78100000000006,2.42204,1,5
CHEMBL266484,Cc1cc(Cl)ccc1C(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1C,355.7810000000001,2.42204,1,5
CHEMBL6239,CC(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,265.656,0.7767999999999999,1,5
CHEMBL6240,O=C(c1ccccc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,327.7270000000001,1.8051999999999997,1,5
CHEMBL6243,Cc1cc(C)c(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2)c(C)c1,335.3630000000001,2.0770599999999995,1,5
CHEMBL6272,O=C(c1ccc(Cl)cc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1,327.7270000000001,1.8051999999999992,1,5
CHEMBL269496,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(O)c1ccc(Cl)cc1,343.7700000000001,1.9643199999999994,2,5
CHEMBL6283,c1cncc(CN2CCN(CC3CCCCN3)CC2)c1,274.412,1.3413,1,4
CHEMBL6284,c1cc(CN2CCN(CC3CCCCN3)CC2)ccn1,274.4119999999999,1.3412999999999997,1,4
CHEMBL6277,CN1CCCCC1CN1CCN(Cc2ccncc2)CC1,288.4390000000001,1.6834999999999996,0,4
CHEMBL268830,CN1CCCCC1CN1CCN(Cc2cccnc2)CC1,288.4390000000001,1.6834999999999996,0,4
CHEMBL6290,COc1cc2nc(N3CCN(C(=O)/C=C/c4ccc(Br)cc4)CC3)nc(N)c2cc1OC,498.38100000000026,3.353700000000001,1,7
CHEMBL6308,CCCC(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1,259.265,0.9036,1,5
CHEMBL268150,CC(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1,231.211,0.12339999999999979,1,5
CHEMBL6293,O=c1cnn(-c2ccc(-c3ccc4oc5ccc(Cl)cc5c(=O)c4c3)cc2)c(=O)[nH]1,417.8080000000001,3.5008000000000026,1,6
CHEMBL268831,CN1CCC[C@H]1CN1CCN(Cc2ccncc2)CC1,274.4120000000001,1.2933999999999992,0,4
CHEMBL267915,CN1CCC[C@H]1CN1CCN(Cc2cccnc2)CC1,274.4120000000001,1.2933999999999992,0,4
CHEMBL2,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,383.40800000000024,1.7845999999999997,1,8
CHEMBL6306,COC(=O)/C=C/C=C/C(=O)N1CCN(c2nc(N)c3cc(OC)c(OC)cc3n2)CC1,427.46100000000024,1.1631999999999996,1,9
CHEMBL415103,COc1cc2nc(N3CCN(C(=O)C4OC4c4ccccc4)CC3)nc(N)c2cc1OC,435.48400000000026,2.017899999999999,1,8
CHEMBL6321,COc1cc2nc(N3CCN(C(=O)/C=C/C(=O)c4ccccc4)CC3)nc(N)c2cc1OC,447.49500000000023,2.3169000000000004,1,8
CHEMBL6323,COc1cc2nc(N3CCN(C(=O)c4ccc5ccccc5c4)CC3)nc(N)c2cc1OC,443.5070000000003,3.344800000000001,1,7
CHEMBL6313,COc1cc2nc(N3CCN(/C(S)=N/c4ccc(N=[N+]=[N-])cc4)CC3)nc(N)c2cc1OC,465.5430000000003,3.9105000000000025,2,8
CHEMBL266081,COc1cc2nc(N3CCN(C(=O)c4cccc(CCl)c4)CC3)nc(N)c2cc1OC,441.91900000000027,2.9304000000000006,1,7
CHEMBL6314,COc1cc2nc(N3CCN(C(=O)/C=C/c4ccc(N=C=S)cc4)CC3)nc(N)c2cc1OC,476.5620000000003,3.325500000000001,1,9
CHEMBL204146,O=c1oc2c(O)c(O)ccc2c2ccc(O)cc12,244.20199999999997,2.0629999999999997,3,5
CHEMBL6355,O=c1oc2ccccc2c2ccccc12,196.20499999999998,2.946200000000001,0,2
CHEMBL6364,O=c1oc2c(O)c(O)ccc2c2ccccc12,228.20299999999997,2.3573999999999993,2,4
CHEMBL6365,O=c1oc2ccccc2c2cc(O)c(O)cc12,228.20299999999997,2.357400000000001,2,4
CHEMBL266458,O=c1oc2cc(O)c(O)cc2c2cc(O)c(O)cc12,260.20099999999996,1.7686,4,6
CHEMBL6366,COc1cc2nc(N3CCN(C(=O)COc4ccccc4)CC3)nc(N)c2cc1OC,423.47300000000024,1.9567999999999997,1,8
CHEMBL3,CN1CCC[C@H]1c1cccnc1,162.236,1.8483,0,2
CHEMBL6200,c1cncc([C@@H]2CCCN2)c1,148.209,1.5061,1,2
CHEMBL6346,O=C(C1CCCCN1)N1CCN(Cc2cccnc2)CC1,288.3950000000001,0.8678999999999992,1,4
CHEMBL414181,c1cncc(CN2CCN(C[C@@H]3CCCN3)CC2)c1,260.38499999999993,0.9512000000000003,1,4
CHEMBL6334,c1cc(CN2CCN(C[C@@H]3CCCN3)CC2)ccn1,260.38499999999993,0.9511999999999998,1,4
CHEMBL263076,O=c1oc2c(O)c(O)ccc2c2cc(F)ccc12,246.19299999999996,2.4965,2,4
