molregno,canonical_smiles,ic50_nm,MolWt,LogP,NumHDonors,NumHAcceptors,Cluster
107831,COc1cc(C(=O)N2CCN(C(=O)c3cc(OC)c(OC)c(OC)c3)C(COC(=O)N3CCCCC3)C2)cc(OC)c1OC,95000.0,615.6800000000003,3.3275000000000023,0.0,10.0,1
107831,COc1cc(C(=O)N2CCN(C(=O)c3cc(OC)c(OC)c(OC)c3)C(COC(=O)N3CCCCC3)C2)cc(OC)c1OC,80.0,615.6800000000003,3.3275000000000023,0.0,10.0,1
84977,O=c1cc(C(c2ccccc2)c2ccccc2)oc2cc(O)ccc12,10890.0,328.3670000000001,4.678800000000003,1.0,3.0,2
54798,NC(Cc1nc2cc(Br)ccc2n1CP(=O)(O)O)C(=O)OCc1ccccc1,56.0,468.2440000000002,2.547200000000001,3.0,6.0,2
54798,NC(Cc1nc2cc(Br)ccc2n1CP(=O)(O)O)C(=O)OCc1ccccc1,15500.0,468.2440000000002,2.547200000000001,3.0,6.0,2
193239,CNC(=O)c1cc2c(Oc3ccc(C(C)=O)cc3)cncc2s1,21.0,326.377,3.650800000000002,1.0,5.0,2
193239,CNC(=O)c1cc2c(Oc3ccc(C(C)=O)cc3)cncc2s1,40.0,326.377,3.650800000000002,1.0,5.0,2
192705,CNC(=O)c1cc2c(Oc3ccc(/C=C/C(=O)NCCN(CCO)CCO)cc3)cncc2s1,680.0,484.5780000000003,1.8641999999999996,4.0,8.0,2
192705,CNC(=O)c1cc2c(Oc3ccc(/C=C/C(=O)NCCN(CCO)CCO)cc3)cncc2s1,600.0,484.5780000000003,1.8641999999999996,4.0,8.0,2
64157,Cc1cccc2c(CN(C)C(=O)/C=C/c3cnc4c(c3)CCC(=O)N4)c(C)n(C)c12,20.0,402.4980000000002,3.746640000000002,1.0,4.0,2
64157,Cc1cccc2c(CN(C)C(=O)/C=C/c3cnc4c(c3)CCC(=O)N4)c(C)n(C)c12,70.0,402.4980000000002,3.746640000000002,1.0,4.0,2
218915,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccsc1)Oc1ccc(F)cc1-3,215.0,389.4950000000001,7.052100000000005,1.0,3.0,2
218915,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccsc1)Oc1ccc(F)cc1-3,100.0,389.4950000000001,7.052100000000005,1.0,3.0,2
218915,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccsc1)Oc1ccc(F)cc1-3,1900.0,389.4950000000001,7.052100000000005,1.0,3.0,2
218915,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccsc1)Oc1ccc(F)cc1-3,3488.0,389.4950000000001,7.052100000000005,1.0,3.0,2
225105,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,9300.0,369.43200000000013,4.772000000000004,1.0,6.0,2
225105,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,25140.0,369.43200000000013,4.772000000000004,1.0,6.0,2
225105,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,64090.0,369.43200000000013,4.772000000000004,1.0,6.0,2
225105,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,39420.0,369.43200000000013,4.772000000000004,1.0,6.0,2
219045,OC1(c2ccccc2F)c2ccccc2C2=NCCCN21,23.0,282.318,2.4850000000000003,1.0,3.0,0
218465,OC1(c2cccnc2)c2ccccc2C2=NCCN21,640.0,251.289,1.3508,1.0,4.0,0
237945,CS(=O)(=O)c1ccc(CSc2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,2500.0,439.5370000000001,4.973600000000004,1.0,5.0,2
237945,CS(=O)(=O)c1ccc(CSc2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,330.0,439.5370000000001,4.973600000000004,1.0,5.0,2
237945,CS(=O)(=O)c1ccc(CSc2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,28800.0,439.5370000000001,4.973600000000004,1.0,5.0,2
237945,CS(=O)(=O)c1ccc(CSc2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,2900.0,439.5370000000001,4.973600000000004,1.0,5.0,2
237279,C[S+]([O-])c1ccccc1CSc1nc(-c2ccc(F)cc2)c(-c2ccncc2)[nH]1,15000.0,423.53800000000007,5.307500000000004,1.0,4.0,2
237279,C[S+]([O-])c1ccccc1CSc1nc(-c2ccc(F)cc2)c(-c2ccncc2)[nH]1,900.0,423.53800000000007,5.307500000000004,1.0,4.0,2
237279,C[S+]([O-])c1ccccc1CSc1nc(-c2ccc(F)cc2)c(-c2ccncc2)[nH]1,47500.0,423.53800000000007,5.307500000000004,1.0,4.0,2
237279,C[S+]([O-])c1ccccc1CSc1nc(-c2ccc(F)cc2)c(-c2ccncc2)[nH]1,4000.0,423.53800000000007,5.307500000000004,1.0,4.0,2
147999,C/C(=N\N=C(\N)S)c1ccc(Cl)c(Cl)c1,50.0,262.165,2.961900000000001,2.0,2.0,0
172226,NC(Cc1ccnn1O)C(=O)O,2700.0,171.15599999999998,-0.9252,3.0,5.0,0
172226,NC(Cc1ccnn1O)C(=O)O,430000.0,171.15599999999998,-0.9252,3.0,5.0,0
173636,N=C(N)N[C@@H](C(=O)NCC(=O)N1CCC(c2cc(-c3ccccc3)[nH]n2)CC1)C1CCCCC1,120000.0,465.6020000000003,2.33087,5.0,4.0,2
173548,COC(=O)[C@H](Cc1ccc(C#Cc2ccccc2)cc1)NC(=O)CNC(=O)[C@@H](CCC(N)=O)N=C(N)N,900000.0,506.56300000000033,-0.6895999999999962,5.0,6.0,2
174288,CC(C)C[C@@H](N=C(N)N)C(=O)NCC(=O)N1CCC(c2cc(-c3ccc(O)c(Cl)c3Cl)nn2C)CC1,8100.0,538.4800000000001,2.609800000000001,4.0,6.0,1
71566,Nc1nc(O)c2nn(-c3cccc(C(=O)NC[C@H]4CCCC[C@@H]4O)c3)nc2n1,320.0,383.4120000000002,0.7791999999999999,4.0,9.0,2
1248327,O=C(O)[C@@H](NS(=O)(=O)c1ccccc1)c1ccccc1,11000.0,291.32800000000003,1.7908,2.0,3.0,0
123630,CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1,500000.0,283.287,2.3105600000000006,2.0,4.0,0
107682,O=C(O)/C=C/c1ccc(O)cc1,3000000.0,164.16,1.49,2.0,2.0,0
122953,N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],96000.0,215.16799999999998,1.73096,1.0,5.0,0
546973,CC(C)CN(C)Cc1cc(C(=O)c2csc(S(N)(=O)=O)c2)ccc1O.Cl,9.0,418.968,2.8417000000000012,2.0,6.0,2
52476,CN(c1ccccc1C(=O)O)S(=O)(=O)c1ccc2ccccc2c1,400000.0,341.38800000000003,3.363100000000002,1.0,3.0,2
146393,CC[C@H]1C(=O)SC[C@@H]1Cc1cncn1C,320.0,224.329,1.8783999999999998,0.0,4.0,0
146393,CC[C@H]1C(=O)SC[C@@H]1Cc1cncn1C,775.0,224.329,1.8783999999999998,0.0,4.0,0
146378,CC[C@@H]1COC[C@@H]1Cc1cncn1C,445.0,194.27800000000002,1.6352,0.0,3.0,0
146378,CC[C@@H]1COC[C@@H]1Cc1cncn1C,1800.0,194.27800000000002,1.6352,0.0,3.0,0
73681,CCCC[C@H](O[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](C(=O)N(C)CCN(C)C)C(C)C,30.0,745.0590000000001,5.283000000000007,2.0,8.0,1
73681,CCCC[C@H](O[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](C(=O)N(C)CCN(C)C)C(C)C,290.0,745.0590000000001,5.283000000000007,2.0,8.0,1
73339,CCCC[C@H](O[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](NC(=O)OCc1ccccc1)C(C)C,2.2,766.0330000000004,6.941800000000007,3.0,8.0,1
73339,CCCC[C@H](O[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](NC(=O)OCc1ccccc1)C(C)C,83.0,766.0330000000004,6.941800000000007,3.0,8.0,1
159514,CCC[C@@H](NC(=O)N1C(=O)C[C@@H]1Cc1ccccc1)c1ccccc1,3400.0,336.435,4.081000000000003,1.0,2.0,2
161060,O=C1C[C@H](Cc2ccccc2)N1C(=O)NCc1ccncc1,12000.0,295.342,2.1348000000000003,1.0,3.0,0
160283,COc1ccc(CN(C)C(=O)N2C(=O)C[C@@H]2Cc2ccccc2)cc1,7400.0,338.407,3.090600000000002,0.0,3.0,2
172126,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)[C@@H](c2ccccc2)CC3[C@H]1C5,178.0,363.4570000000001,2.815800000000001,2.0,4.0,2
546939,CCCCCC1N=C(N)CC1C.Cl,360.0,204.745,2.7541000000000015,1.0,2.0,0
546939,CCCCCC1N=C(N)CC1C.Cl,243000.0,204.745,2.7541000000000015,1.0,2.0,0
546939,CCCCCC1N=C(N)CC1C.Cl,5370.0,204.745,2.7541000000000015,1.0,2.0,0
551904,CC1CC(N)=NC1Cc1ccccc1.Cl,3000.0,224.73500000000004,2.4165000000000005,1.0,2.0,0
551904,CC1CC(N)=NC1Cc1ccccc1.Cl,458000.0,224.73500000000004,2.4165000000000005,1.0,2.0,0
551904,CC1CC(N)=NC1Cc1ccccc1.Cl,8290.0,224.73500000000004,2.4165000000000005,1.0,2.0,0
284092,COC(=O)C1C(Cc2ccccc2)CC2CCC1N2C,885.0,273.376,2.5010000000000003,0.0,3.0,0
284092,COC(=O)C1C(Cc2ccccc2)CC2CCC1N2C,1020.0,273.376,2.5010000000000003,0.0,3.0,0
238902,COc1cc(/C=C/c2cnc3nc(N)nc(N)c3c2)cc(OC)c1OC,1400.0,353.3820000000001,2.3853999999999997,2.0,8.0,2
238902,COc1cc(/C=C/c2cnc3nc(N)nc(N)c3c2)cc(OC)c1OC,12900.0,353.3820000000001,2.3853999999999997,2.0,8.0,2
273905,COC(=O)CCc1c(-c2ccccc2)c(O)nc2cc(Cl)ccc12,500.0,341.79400000000004,4.366400000000002,1.0,4.0,2
109547,NC(=O)C(C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)C1(O)CCCCC1,540.0,476.57700000000034,2.5185999999999993,4.0,6.0,2
109547,NC(=O)C(C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)C1(O)CCCCC1,120.0,476.57700000000034,2.5185999999999993,4.0,6.0,2
163715,c1ccc(-c2cnc(Nc3ccccn3)o2)cc1,1880.0,237.26200000000003,3.480200000000001,1.0,4.0,0
182453,COCCNc1ccc(N2C(=O)c3ccc(C(=O)O)cc3C2=O)cc1-c1nc2cc(-c3ccccc3)ccc2o1,2000.0,533.5400000000002,5.718900000000004,2.0,7.0,1
182453,COCCNc1ccc(N2C(=O)c3ccc(C(=O)O)cc3C2=O)cc1-c1nc2cc(-c3ccccc3)ccc2o1,20000.0,533.5400000000002,5.718900000000004,2.0,7.0,1
252895,Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4cccc5[nH]ccc45)CC3)ccc2s1,860.0,479.6060000000001,3.082020000000001,3.0,7.0,2
120293,N.N.N.N.NC(=O)[C@H](Cc1ccc(C(F)(F)P(=O)(O)O)cc1)NC(=O)[C@H](Cc1ccc(C(F)(F)P(=O)(O)O)cc1)NCc1cc(Br)cc(C2(C(F)(F)F)N=N2)c1,1700.0,916.5240000000002,5.645700000000007,11.0,11.0,1
188095,O=C1C(Nc2ccc(Br)cc2)=C(Cl)C(=O)c2ncncc21,4310.0,364.58600000000007,3.180600000000001,1.0,5.0,2
188095,O=C1C(Nc2ccc(Br)cc2)=C(Cl)C(=O)c2ncncc21,3020.0,364.58600000000007,3.180600000000001,1.0,5.0,2
188095,O=C1C(Nc2ccc(Br)cc2)=C(Cl)C(=O)c2ncncc21,690.0,364.58600000000007,3.180600000000001,1.0,5.0,2
188095,O=C1C(Nc2ccc(Br)cc2)=C(Cl)C(=O)c2ncncc21,15100.0,364.58600000000007,3.180600000000001,1.0,5.0,2
272629,O=c1c2ccccc2nc2ccc(-c3nn[nH]n3)cn12,280000.0,264.248,1.0277999999999998,1.0,6.0,0
273370,O=C(O)c1cccn2c(=O)c3ccccc3nc12,800000.0,240.218,1.5458999999999998,1.0,4.0,0
88615,COc1ccc2c(=O)n3cc(C(=O)NCCCCc4cccnc4)ccc3nc2c1,20.0,402.45400000000006,3.0040000000000013,1.0,6.0,2
543840,Cl.Cn1nc2c3c(c(NCCNCCO)ccc31)C(=O)c1c(O)ccc(O)c1-2,150.0,404.85400000000016,1.6114999999999993,5.0,8.0,2
543826,COCCn1nc2c3c(c(NCCNCCO)ccc31)C(=O)c1c(O)ccc(O)c1-2.Cl,1600.0,448.9070000000001,1.7208999999999994,5.0,9.0,2
39172,COc1cc2c(C)nc(O)c(C(C)C)c2cc1OC,7000.0,261.321,3.389420000000002,1.0,4.0,0
279680,CS(=O)(=O)Nc1cc2c3ccccc3nc-2c[nH]1,62000.0,261.306,2.0391999999999997,2.0,3.0,0
29450,CCN1CCC[C@H]1CNC(=O)c1c(OC)cccc1OC,15300.0,292.3790000000001,1.9179,1.0,4.0,0
38905,CCc1c(O)nc(C)c2cc(OC)c(OC)cc12,2000.0,247.29399999999995,2.8284200000000013,1.0,4.0,0
156272,O=C(CN(Cc1ccccc1)C(=O)CN(CCCc1ccccc1)C(=O)Nc1ccc(Oc2ccccc2)cc1)NO,300.0,566.6580000000002,5.4798000000000044,3.0,5.0,1
156689,CCCCN(CC(=O)NO)C(=O)CN(CCc1ccc(F)cc1)C(=O)Nc1ccc(Oc2ccccc2)cc1,51000.0,536.6040000000002,4.828700000000003,3.0,5.0,1
156273,CCCCCCCN(CC(=O)NO)C(=O)CN(CCCc1ccccc1)C(=O)Nc1ccc(Oc2ccccc2)cc1,150000.0,574.7220000000003,6.250000000000005,3.0,5.0,1
176761,OCC1NC(CO)[C@H](O)[C@@H](O)[C@@H]1O,22.0,193.199,-3.6058999999999988,6.0,6.0,0
176761,OCC1NC(CO)[C@H](O)[C@@H](O)[C@@H]1O,4500.0,193.199,-3.6058999999999988,6.0,6.0,0
97768,COc1ccc(-c2cccc(CN3CCN(c4ncccn4)CC3)c2)cc1,50.0,360.46100000000007,3.474400000000002,0.0,5.0,2
97768,COc1ccc(-c2cccc(CN3CCN(c4ncccn4)CC3)c2)cc1,72.0,360.46100000000007,3.474400000000002,0.0,5.0,2
97768,COc1ccc(-c2cccc(CN3CCN(c4ncccn4)CC3)c2)cc1,57.0,360.46100000000007,3.474400000000002,0.0,5.0,2
97768,COc1ccc(-c2cccc(CN3CCN(c4ncccn4)CC3)c2)cc1,2000.0,360.46100000000007,3.474400000000002,0.0,5.0,2
151461,O=C1C[C@H](NC(=O)[C@@H]2CS[C@H]3CC[C@H](NC(=O)OCc4ccccc4)C(=O)N32)C(O)O1,4800.0,449.4850000000002,0.09539999999999998,3.0,8.0,2
151461,O=C1C[C@H](NC(=O)[C@@H]2CS[C@H]3CC[C@H](NC(=O)OCc4ccccc4)C(=O)N32)C(O)O1,86000.0,449.4850000000002,0.09539999999999998,3.0,8.0,2
103728,C/C(=N\C1CCCCC1)NC12CC3CC(CC(C3)C1)C2,72.0,274.45200000000006,4.295900000000003,1.0,1.0,0
103728,C/C(=N\C1CCCCC1)NC12CC3CC(CC(C3)C1)C2,10000.0,274.45200000000006,4.295900000000003,1.0,1.0,0
206187,Cc1cccc2c1C1(C34C[C@H]5C(=O)N[C@@H](Cc6ccccc6)C(=O)N5[C@H]3Nc3ccccc34)C[C@H]3C(=O)N[C@@H](Cc4ccccc4)C(=O)N3[C@H]1N2,440.0,678.7930000000001,3.3580200000000016,4.0,6.0,1
206153,Cc1cccc2c1C1(C34C[C@H]5C(=O)N[C@@H](Cc6ccccc6)C(=O)N5[C@H]3Nc3cccc(C)c34)C[C@H]3C(=O)N[C@@H](Cc4ccccc4)C(=O)N3[C@H]1N2,5700.0,692.8200000000002,3.6664400000000015,4.0,6.0,1
